,Unnamed: 0.1,Unnamed: 0,id,source,sentence_1,sentence_2,label,binary-label
12,26,26,boostcamp-sts-v1-train-026,petition-sampled-s1-rtted,전두환을 처벌해주세요,이재용을 구속해주세요,0.2,0.0
13,35,35,boostcamp-sts-v1-train-035,slack-sampled-s1-rtted,다시 시도하고 싶습니다.,얼마나 드시고 싶었으면…,1.2,0.0
14,38,38,boostcamp-sts-v1-train-038,nsmc-sampled-s1-rtted,암튼 걷는다는 설정이 좀 -_-;,허나 알리슨 로먼이 벗은건 충격 -_-;;,0.0,0.0
15,41,41,boostcamp-sts-v1-train-041,petition-sampled-s1-rtted,나이가 문제인가요?,저는 무엇인가요??,0.0,0.0
16,44,44,boostcamp-sts-v1-train-044,petition-sampled-s1-rtted,공무원이 불법적으로 임금을 받는 일이 없도록 해주세요.,최저임금 인상에 따른 정부지원금 부정수급을 적발하여 처벌해 주십시요,0.8,0.0
17,46,46,boostcamp-sts-v1-train-046,slack-sampled-s1-rtted,내가 왜 냄비에 들어갔지?,저는 사과나 우유에 프로틴타서 먹어요 ㅎㅎ,0.0,0.0
18,47,47,boostcamp-sts-v1-train-047,nsmc-sampled-s1-rtted,남동생이랑 봤는데 별로 무섭지도 않고 잘 지내는 것 같더라....,내용도 그렇고 별로 맘에들지않는다.......,0.0,0.0
19,48,48,boostcamp-sts-v1-train-048,petition-sampled-s1-rtted,알코올중독자도 기초생활수급자인가요?,기초생활수급자 장애인을 위하여.,1.0,0.0
20,49,49,boostcamp-sts-v1-train-049,petition-sampled-s1-rtted,지구 및 시의회 선거. 이제 그만하자.,"국회의원,도의원,시의원 들 3선이상 출마금지",0.8,0.0
21,51,51,boostcamp-sts-v1-train-051,nsmc-sampled-s1-rtted,나는 내 아이들이 그것을 보는 것을 원하지 않습니다.,아이들이랑 보기 좋을거 같아요.,0.6,0.0
22,53,53,boostcamp-sts-v1-train-053,nsmc-sampled-s1-rtted,그러나 관객에 대한 배려는 없다.,이 정도 수준으로 영화관에 내보내는건 관객에 대한 모독이다.,1.8,0.0
23,54,54,boostcamp-sts-v1-train-054,petition-sampled-s1-rtted,현재 시설로 더 잘할 수 있으면 좋겠습니다.,여성가족부 폐지하고 그 예산을 좀 더 올바르게 사용했으면 좋겠습니다.,0.0,0.0
24,55,55,boostcamp-sts-v1-train-055,nsmc-sampled-s1-rtted,하지만 멜로드라마는 영하하,유령나올때 멜로디는 어릴때 충격적이였지 ㅋㅋㅋ,0.0,0.0
25,56,56,boostcamp-sts-v1-train-056,nsmc-sampled-s1-rtted,최고인 것 같아요...,난이게 제일 재밌었는데..,1.6,0.0
26,60,60,boostcamp-sts-v1-train-060,slack-sampled-s1-rtted,책의 첫 부분을 읽다보면 우리 회사 문화와 업무 스타일에 대한 좋은 팁들이 나와있어요!!,첫날 부터 우리 회사의 좋은 문화를 가득 체험하고 갑니다 ㅎㅎ,1.0,0.0
27,61,61,boostcamp-sts-v1-train-061,petition-sampled-s1-rtted,'그루밍 성범죄' 법이 있어야 합니다.,"!!'그루밍 범죄', 청소년 성폭력 범죄에서 절반!!",1.0,0.0
28,63,63,boostcamp-sts-v1-train-063,slack-sampled-s1-rtted,부트캠프 프로그램에 대한 이야기에서 추천 도메인에 대한 이야기로 순식간에 시간이 흘러가는 것이 많이 아쉬웠습니다.,각자 업무와 부트캠프 얘기부터 앞으로 진로 얘기까지 나누다보니 한시간 훌쩍 넘게 수다를 떨었네요.,2.0,0.0
29,65,65,boostcamp-sts-v1-train-065,slack-sampled-s1-rtted,"아, <PERSON>이(가) 어제 샀어요!","누가? 저랑 <PERSON>, 그리고 경주에 가까이 사시는 분이든 서울에 사시는 분이든 놀 준비 되있으신 분들.",0.4,0.0
30,68,68,boostcamp-sts-v1-train-068,petition-sampled-s1-rtted,[주차] 불법주차단속 단속 요청,긴급상황 출동시 개인 재산(주차 차량) 침해 허용,0.4,0.0
31,69,69,boostcamp-sts-v1-train-069,petition-sampled-s1-rtted,양육비를 부모님께 드립니다.,어린이집 이용시간을 현실성 있게 조정해 주세요...,0.8,0.0
32,70,70,boostcamp-sts-v1-train-070,slack-sampled-s1-rtted,<PERSON>과 어젯밤에 저녁을 먹었습니다!,<PERSON> 님과 어제 한시간동안 이야기 나눴습니다!!,0.8,0.0
33,71,71,boostcamp-sts-v1-train-071,slack-sampled-s1-rtted,무한 리필 챌린지에서 나는 파!,저도 데스커 사용 중입니다!,0.0,0.0
34,72,72,boostcamp-sts-v1-train-072,slack-sampled-s1-rtted,Google Meet에 맞게 크기 조정,스우파 리정 vs 시미즈에서 리정 배틀곡이기도합니다,0.0,0.0
35,73,73,boostcamp-sts-v1-train-073,nsmc-sampled-s1-rtted,감정을 자극할 수 없습니다.,감성을 자극했던 좋은영화,1.6,0.0
36,74,74,boostcamp-sts-v1-train-074,slack-sampled-s1-rtted,고화질 영상으로 편집! 그,하체지만 고관절 신청합니다…!,0.0,0.0
37,75,75,boostcamp-sts-v1-train-075,petition-sampled-s1-rtted,문재인을 원망하지 말라,문재인님제발욕설하지마세요,1.6,0.0
38,76,76,boostcamp-sts-v1-train-076,nsmc-sampled-s1-rtted,후반부의 법정 공방과 반전이 이 영화의 백미다.,투혼과 함께 반담의 최고영화. 복수의 칼날 반담~,0.0,0.0
39,77,77,boostcamp-sts-v1-train-077,slack-sampled-s1-rtted,대나무처럼 자라는게 있을줄 알았는데 신기하네요,아ㅎㅎㅎ 새로 인터넷 설치해야하는 줄 알았는데 돈 굳은 느낌이네요,0.0,0.0
40,79,79,boostcamp-sts-v1-train-079,petition-sampled-s1-rtted,"조두순, 형량 증가 청원",소년법개정.폐지를 청원합니다,0.0,0.0
41,81,81,boostcamp-sts-v1-train-081,slack-sampled-s1-rtted,옛 유럽에서 전쟁 중 한 무리의 군대가 한 마을에 주둔했습니다.,각자 사는 곳의 날씨 이야기부터 시작했습니다.,0.0,0.0
42,82,82,boostcamp-sts-v1-train-082,petition-sampled-s1-rtted,대동강맥주 수입해주세요!!!,MBN 을 강력하게 제재해주세요 !!!!!!,0.0,0.0
43,86,86,boostcamp-sts-v1-train-086,slack-sampled-s1-rtted,물은 답을 알고 있다,물의 요정이다! ㅋㅋ,0.2,0.0
44,87,87,boostcamp-sts-v1-train-087,slack-sampled-s1-rtted,곧 워크숍도 준비하고 있습니다..!,워크샵 담날 아침 8시에 하기 쉽지 않았지만 ㅋㅋ 다음엔 하프 도전~~!!,0.8,0.0
45,88,88,boostcamp-sts-v1-train-088,petition-sampled-s1-rtted,현실적인 통일 방안 2,청년실업 해소방안 제안,0.2,0.0
46,89,89,boostcamp-sts-v1-train-089,slack-sampled-s1-rtted,이곳에서 왕갈비를 먹고 이 장면을 보고 있으면 정말 멋져요.,왕갈비 최고였습니다. 정자에 부는 시원한 바람 또한 일품이었습니다. 최고최고~~,1.4,0.0
47,90,90,boostcamp-sts-v1-train-090,slack-sampled-s1-rtted,둘 다 낯가림이 있지만 수다스러움을 감출 수 없는 캐릭터라는 걸 깨닫고 ㅎㅎ,재밌는 컨셉을 써도 숨길 수 없는 퀄리티ㅠㅠㅠ,1.0,0.0
48,91,91,boostcamp-sts-v1-train-091,petition-sampled-s1-rtted,이민을 허용하다,소년법을 폐지해주세요.,0.0,0.0
49,93,93,boostcamp-sts-v1-train-093,nsmc-sampled-s1-rtted,할머니: 코치님... 농구하고 싶어요,-점 없어 아쉬움~~,0.0,0.0
50,94,94,boostcamp-sts-v1-train-094,nsmc-sampled-s1-rtted,보면서 주인공의 아이가 참 불쌍하다는 생각이 들었습니다.,친구가 무섭다고 추천해줬다.,0.0,0.0
51,95,95,boostcamp-sts-v1-train-095,slack-sampled-s1-rtted,오 대화 시스템!!! 에 오신 것을 환영합니다!!!,오오 기대됩니당~~,0.0,0.0
52,96,96,boostcamp-sts-v1-train-096,nsmc-sampled-s1-rtted,게다가 스스로에 대해 생각하고 반성하게 만드는 영화다.,모든 영화는 아닌척하지만 다 우리 자신에 대한 위로이다.,0.6,0.0
53,101,101,boostcamp-sts-v1-train-101,petition-sampled-s1-rtted,나라를 위해서 하는 건가요 아니면 돈을 벌기 위해 그렇게 가신 건가요?,자영업자들 다 죽이실겁니까?,0.0,0.0
54,102,102,boostcamp-sts-v1-train-102,slack-sampled-s1-rtted,건조기 없이 매일 빨래하는데 사이즈도 괜찮아요,저는 큰 사이즈 모션데스크 사용중인데 만족합니다.,0.4,0.0
55,105,105,boostcamp-sts-v1-train-105,nsmc-sampled-s1-rtted,멈춰서 갑자기 폭발할 것 같은 느낌이 든다.,뒤통수를 쳐맞은 느낌.,0.2,0.0
56,107,107,boostcamp-sts-v1-train-107,petition-sampled-s1-rtted,자궁 경부 및 요추 척추 압박 골절에 대한 대기 기간 제거,건강보험 보장 확대에 오타반점 제거 시술도 포함해 주세요.,0.0,0.0
57,108,108,boostcamp-sts-v1-train-108,petition-sampled-s1-rtted,"청화대 청원, 실명 밝혀달라",청와대 국민청원 근거없이 삭제 직권남용 직원 형사처벌 바랍니다,1.2,0.0
58,109,109,boostcamp-sts-v1-train-109,nsmc-sampled-s1-rtted,영화의 재미보다 짚라인을 타고 싶다.,가난한 영화의 넘치는 여운..그녀의 말을 마저 듣고 싶다.,0.0,0.0
59,112,112,boostcamp-sts-v1-train-112,petition-sampled-s1-rtted,민간어린이집과 가정어린이집은 분야에 맞게 법을 만들어주세요.,민간어린이집과 가정어린이집에 운영비를 지원해 주시기 바랍니다,2.0,0.0
60,115,115,boostcamp-sts-v1-train-115,nsmc-sampled-s1-rtted,오랜만에 본 최악의 영화.,간만에 좋은영화 봤다.,0.6,0.0
61,116,116,boostcamp-sts-v1-train-116,slack-sampled-s1-rtted,지금도 아침에 코칭하고 가족들이 자주 같이 다니는 가족운동이라고 해요!,그리고 그림 또한 그리는걸 좋아하셔서 타블렛까지 구매하셔서 종종 그리신다고 하십니다!,0.0,0.0
62,120,120,boostcamp-sts-v1-train-120,petition-sampled-s1-rtted,여러 자녀를 갖는 것의 이점,다자녀가구 부모의 공무원 우선채용,0.6,0.0
63,121,121,boostcamp-sts-v1-train-121,slack-sampled-s1-rtted,아이가 게임에 빠지지 않도록 하는 방법이라고 합니다.,ㅠㅠ 인도에서 오는 비행 2주간 금지라고 합니다.,0.0,0.0
64,122,122,boostcamp-sts-v1-train-122,slack-sampled-s1-rtted,건강한 취미생활을 하다 보니 건강한 음식도 즐긴다고 한다.,다양한 공간에서 삶의 방식을 경험하는 것을 즐긴다고 합니다.,0.4,0.0
65,125,125,boostcamp-sts-v1-train-125,petition-sampled-s1-rtted,욱일기~ 전범기 사용금지 법안 당장 만들어라,풍등 제작 및 날리기 행위를 법으로 금지해야합니다.,0.0,0.0
66,127,127,boostcamp-sts-v1-train-127,petition-sampled-s1-rtted,중국발 미세먼지 청원을 모아주세요,중국발 미세먼지 대책마련 해주시죠,2.2,0.0
67,128,128,boostcamp-sts-v1-train-128,nsmc-sampled-s1-rtted,남주가 음식을 흡입하는 장면은 혐오감으로 편집됐다.,여배우 노출은 심하던데.재미없어서 졸려서 본 영화.,0.0,0.0
68,129,129,boostcamp-sts-v1-train-129,petition-sampled-s1-rtted,모바일 과속단속카메라 대신 과속단속CCTV를 설치해주세요.,5m 이동시 핸드폰 액정 자동꺼짐 설치 의무화 해주세요.,0.0,0.0
69,132,132,boostcamp-sts-v1-train-132,nsmc-sampled-s1-rtted,이런 영화를 보면 지루해지기 쉽지 않은데 이상하게 지루하다.,.상어 나오는 영화가 이렇게 지루할 수 있다는데 박수를보낸다. .,2.0,0.0
70,134,134,boostcamp-sts-v1-train-134,petition-sampled-s1-rtted,폭염 대책 부탁드립니다,지진 안나게 방지책좀 세워주세요,0.6,0.0
71,138,138,boostcamp-sts-v1-train-138,nsmc-sampled-s1-rtted,"기대 이상, 기대 이상...과도한 우연",영화보단드라마부작이짱....,0.0,0.0
72,139,139,boostcamp-sts-v1-train-139,nsmc-sampled-s1-rtted,"달리고 달리고,",공포감도 별루고.. 암튼 비추..,0.0,0.0
73,140,140,boostcamp-sts-v1-train-140,nsmc-sampled-s1-rtted,이 영화도 마찬가지다.,이 감독의 영화는 다 비추천이다.,0.8,0.0
74,143,143,boostcamp-sts-v1-train-143,slack-sampled-s1-rtted,오늘 저녁 7시에 캠퍼들과 공유합니다.,내일 오전 10시 경에도 위와 같은 메세지가 달릴 예정인데요!!,0.4,0.0
75,144,144,boostcamp-sts-v1-train-144,slack-sampled-s1-rtted,금요일에 만난다는 소문이 있는데...,금요일에 더 많은 얘기 나눠요~!!,1.4,0.0
76,147,147,boostcamp-sts-v1-train-147,nsmc-sampled-s1-rtted,영원한 시간... 그리고 영원한 사랑...,진짜 재미없어요...............................................,0.0,0.0
77,151,151,boostcamp-sts-v1-train-151,petition-sampled-s1-rtted,아파트 누수 수수료 면제를 요청합니다.,보육교사대 아동비율수 조정 청원합니다.,0.2,0.0
78,152,152,boostcamp-sts-v1-train-152,petition-sampled-s1-rtted,성범죄 공소시효 폐지를 청원합니다.,청소년 보호법 및 소년법 등 폐지를 청원합니다.,0.2,0.0
79,154,154,boostcamp-sts-v1-train-154,nsmc-sampled-s1-rtted,바로.. 킬링타임용,킬링타임용에도 못미치는 수준..,1.2,0.0
80,155,155,boostcamp-sts-v1-train-155,petition-sampled-s1-rtted,엄청난 후유증을 가져올 개정판.,많은 국민들이 엄청난 피해를 보고 있습니다.,0.0,0.0
81,160,160,boostcamp-sts-v1-train-160,nsmc-sampled-s1-rtted,이런 전쟁 영화는 처음 본다. 좋아요.,이런드라마 오랜만에보네요ㅋㅋㅋ,0.4,0.0
82,162,162,boostcamp-sts-v1-train-162,slack-sampled-s1-rtted,맙소사! 등이 훨씬 편해졌습니다.,하늘색깔이 정말 파랗고 멋지네요.,0.0,0.0
83,166,166,boostcamp-sts-v1-train-166,slack-sampled-s1-rtted,찾아서 넣어!,네? 잘못들었습니다.,0.0,0.0
84,168,168,boostcamp-sts-v1-train-168,petition-sampled-s1-rtted,서울의 한 초등학교 교감. 학생의 개인정보를 팔았습니다!,서울 도봉구 소재 초등학교 교사의 폭력에 아이들이 병들어가고 있습니다.,0.4,0.0
85,169,169,boostcamp-sts-v1-train-169,petition-sampled-s1-rtted,7월 28일 난민추방의 촛불을 켜자,6월 12일 광화문으로 모이자!,0.0,0.0
86,170,170,boostcamp-sts-v1-train-170,slack-sampled-s1-rtted,세 번째 고양이를 자랑스럽게,고양이 자랑 많이 해주세요!,1.4,0.0
87,171,171,boostcamp-sts-v1-train-171,nsmc-sampled-s1-rtted,무엇보다 초연 환경이 최악이었어요!,무엇보다 나오는 음악이 별로다.,0.4,0.0
88,172,172,boostcamp-sts-v1-train-172,petition-sampled-s1-rtted,"청소년 술, 담배 및 폭행에 대한 엄격한 법률","버스, 택시, 화물차 안전운전 법 강화시켜주세요.",0.4,0.0
89,174,174,boostcamp-sts-v1-train-174,nsmc-sampled-s1-rtted,시청 해주셔서 감사합니다. ^_^,정말 재밌습니다^^!,2.0,0.0
90,178,178,boostcamp-sts-v1-train-178,petition-sampled-s1-rtted,자영업자를 구하는 방법,최저임금올리는 쉬운방법,0.0,0.0
91,179,179,boostcamp-sts-v1-train-179,nsmc-sampled-s1-rtted,별점을 주실때는 직접 보시고 저에게 주십시요.,케이블에서 보고 평점드립니다.,0.8,0.0
92,180,180,boostcamp-sts-v1-train-180,nsmc-sampled-s1-rtted,완벽한 세상이란 존재하지 않는다,이때의 베이싱어는 엔트립먼트의 제타존스가 따라올수 없다..,0.0,0.0
93,182,182,boostcamp-sts-v1-train-182,slack-sampled-s1-rtted,<PERSON>에게 압도적인 감사를 드립니다!,<PERSON> 이게 아주 멋지고 아마 물속 말고 육지에서도 사용가능. ㅋㅋ,0.4,0.0
94,183,183,boostcamp-sts-v1-train-183,petition-sampled-s1-rtted,이 나이에 군대 가고싶다,대통령에게 매일같이 욕을 하는 놈을 알고 있어요~~~~~~~~~~~~~~~~~~~~~~~~~,0.0,0.0
95,184,184,boostcamp-sts-v1-train-184,nsmc-sampled-s1-rtted,물론 어린이 동화 같지는 않다.,솔직히 돈주고 본게 아니라 돈아깝다는 소리는 못하고요.,0.0,0.0
96,185,185,boostcamp-sts-v1-train-185,nsmc-sampled-s1-rtted,제목에 얽매이지 마세요...,댓글에 낚였음...,1.4,0.0
97,186,186,boostcamp-sts-v1-train-186,slack-sampled-s1-rtted,목록은 훌륭합니다.,최고수 인데요. 대박이네요.,1.2,0.0
98,187,187,boostcamp-sts-v1-train-187,slack-sampled-s1-rtted,와아아아아아아아아 안전,꺄오오올!!!!! 환영합니다아아아,0.0,0.0
99,188,188,boostcamp-sts-v1-train-188,nsmc-sampled-s1-rtted,뭐가 그리 얄미워,"뭐이리 어설픈영화가있냐,,,",2.0,0.0
100,189,189,boostcamp-sts-v1-train-189,slack-sampled-s1-rtted,이 모습을 보니 회사 생각이 많이 난다.,보다보니 우리 회사랑 비슷한 부분이 많아서 공유합니다.,2.0,0.0
101,190,190,boostcamp-sts-v1-train-190,slack-sampled-s1-rtted,제주가 궁금하다!,오호 신기하내요 ㅎㅎㅎ,0.0,0.0
102,191,191,boostcamp-sts-v1-train-191,slack-sampled-s1-rtted,또한 스우파-스갈파-쇼미를 잇는 아주 즐거운 맛나눔의 시간이 너무 즐거웠습니다.,운동 이야기를 시작으로 직무에 대한 이야기까지! 너무 너무 즐거웠습니다.,1.2,0.0
103,193,193,boostcamp-sts-v1-train-193,slack-sampled-s1-rtted,그나저나 회사에도 비슷한 취미를 가진 분들이 계신 것 같으니 자주 이야기 나누며 적용해본 경험을 공유해보아요~!,보안 관련하여 내용 좀 정리해서 추후 공지/당부 따로 드리긴할텐데요~!,0.0,0.0
104,196,196,boostcamp-sts-v1-train-196,nsmc-sampled-s1-rtted,지금은 너무 늙어보여,오늘 너무 재미없었다ㅠㅠ,0.6,0.0
105,197,197,boostcamp-sts-v1-train-197,slack-sampled-s1-rtted,8월에 꼭 피티 잡으러 가겠습니다 ㅎㅎ,조만간 또 오피스 방문하게 되면 인사드리러 가겠습니다,0.0,0.0
106,198,198,boostcamp-sts-v1-train-198,petition-sampled-s1-rtted,이국종 교수의 분노,이국종교수님 도와주세요,1.2,0.0
107,199,199,boostcamp-sts-v1-train-199,petition-sampled-s1-rtted,차입거래 및 계약에 관한 법률이 보완될 수 있는지 알고 싶습니다.,제1차~2차연평해전 및 천안함사태에 구체적인피해보상과 재발방지에 관하여 문재인대통령님께 답변을 듣고싶습니다.,0.0,0.0
108,203,203,boostcamp-sts-v1-train-203,petition-sampled-s1-rtted,GMO 차단을 권장합니다.,한국 GM 국영화를 제안합니다.,0.0,0.0
109,204,204,boostcamp-sts-v1-train-204,petition-sampled-s1-rtted,고등학생에게는 최소한의 운동시간을 주세요.,"학교 수업시간을 줄여주세요, 학생에게도 인권을주세요",0.4,0.0
110,205,205,boostcamp-sts-v1-train-205,petition-sampled-s1-rtted,"한국연금에 - 군인, 교직원, 사립학교, 국민연금 모두 새롭게 추가","국민연금 손보기 전에 사학, 공무원, 군인연금 부터 개혁하고 국민연금 건드시길...",2.2,0.0
111,206,206,boostcamp-sts-v1-train-206,petition-sampled-s1-rtted,지역 외상 센터 꾸준한 관심,이국종 교수님 권역외상센터,1.2,0.0
112,208,208,boostcamp-sts-v1-train-208,petition-sampled-s1-rtted,국회 특별활동비 공개하고 돌려주세요,국회 검찰 국정원등 특활비 내역공개 및 특활비 제도개선,2.2,0.0
113,212,212,boostcamp-sts-v1-train-212,nsmc-sampled-s1-rtted,시대를 초월한 걸작...원작 셰익스피어 그 자체,난 왜 광구가 생각이나는걸까...,0.0,0.0
114,213,213,boostcamp-sts-v1-train-213,slack-sampled-s1-rtted,브로콜리와 로메인 묘목을 심었습니다.,이게 브로콜리 아니었나요!?,1.0,0.0
115,214,214,boostcamp-sts-v1-train-214,petition-sampled-s1-rtted,참여연대위원회 시민이 없다,자영업자와 근로자를 위한 수평적인 법조정 절실합니다.,0.0,0.0
116,215,215,boostcamp-sts-v1-train-215,nsmc-sampled-s1-rtted,Ju-On 시리즈를 본 적이 없어서 정말 무서웠어요.,그냥그저그래네요 스릴러를너무봐서그런가??..,0.0,0.0
117,216,216,boostcamp-sts-v1-train-216,slack-sampled-s1-rtted,초절전 모드로 무사히 도착했습니다.,전 일단 초급자 모드로 깔고 갑니다..ㅎㅎㅎ,0.4,0.0
118,220,220,boostcamp-sts-v1-train-220,slack-sampled-s1-rtted,쇼를 보시고 의견을 알려주세요.,혹시 강의 일부참여하셨으면 후기 부탁드립니다.,1.4,0.0
119,221,221,boostcamp-sts-v1-train-221,petition-sampled-s1-rtted,자유한국당을 쫓아내자.,나경원 의원 파면요청합니다.,0.0,0.0
120,222,222,boostcamp-sts-v1-train-222,slack-sampled-s1-rtted,디자인에 대한 질문이 많았는데 신기했어요,추천 관련해서 궁금하신 점들이 있다고 하셨는데 언제든지 미팅 잡아주세요~,0.8,0.0
121,223,223,boostcamp-sts-v1-train-223,petition-sampled-s1-rtted,장관들이 자산을 공개하게 하라,고위공직자 재산공개를 법으로 규제하자,2.2,0.0
122,227,227,boostcamp-sts-v1-train-227,nsmc-sampled-s1-rtted,수지 목소리 너무 좋아요.,소소한재미ㅜㅋ여탯껏삶을다시돌아보게하는영화ㅜ,0.0,0.0
123,228,228,boostcamp-sts-v1-train-228,slack-sampled-s1-rtted,최근 클린 코드에 관심이 많아 코드에 코를 박았다고 해서 바로 진지한 파이썬 공부를 시작했다.,UX Writing에 관심이 생겨 관련 책을 읽어보고 있습니다.,0.2,0.0
124,229,229,boostcamp-sts-v1-train-229,slack-sampled-s1-rtted,이러저러한 회사 얘기를 하다 화제가 된 장안 오징어 게임.,다음에 뵐 때는 오징어게임 오일남 성대모사를 해주시겠다고 하셔서 기대하고 있겠습니다,1.0,0.0
125,230,230,boostcamp-sts-v1-train-230,slack-sampled-s1-rtted,세 가지만 알려드릴게요! 헤헤,수정본이 오면 보여드릴게요 ㅋㅋㅋ,0.0,0.0
126,231,231,boostcamp-sts-v1-train-231,petition-sampled-s1-rtted,#미투 운동에 울고 있는 자영업자들,적폐 청산에 억울함을 호소합니다.,0.0,0.0
127,232,232,boostcamp-sts-v1-train-232,petition-sampled-s1-rtted,환경부가 4대강 중 남한강 이포저수지 개통으로 사주를 폭로해 패류 폐사 위기에 처하자 매일 10명이 조개를 주워 강물에 던져 13명을 냈다. 세금 백만 원.,이스람 이집트 난민이 인천공황으로 몰리고 있습니다.,0.0,0.0
128,234,234,boostcamp-sts-v1-train-234,slack-sampled-s1-rtted,<PERSON>도 당근… ㅋㅋㅋ,<PERSON> 님 오시나요? ㅋㅋ,0.4,0.0
129,236,236,boostcamp-sts-v1-train-236,petition-sampled-s1-rtted,나이든 젊은이들이 살 수 있도록 도와주세요,청년들이 살기좋은 나라로 만들어주십시요.,2.0,0.0
130,237,237,boostcamp-sts-v1-train-237,slack-sampled-s1-rtted,어 나 너무 잘생겼어..ㅋㅋㅋ,자꾸 이러시면 또 쪄갑니다….ㅋㅋ,0.0,0.0
131,238,238,boostcamp-sts-v1-train-238,petition-sampled-s1-rtted,유류비도 주유소와 짜서,"건설기계(덤프트럭, 굴삭기, 지게차 등) 유류세비 지원 바랍니다.",0.4,0.0
132,239,239,boostcamp-sts-v1-train-239,nsmc-sampled-s1-rtted,이렇게 가슴이 먹먹해지는 영화가 있었나요?,드라마가 전달해준 메세지가 가슴을 찡하게 합니다.,0.4,0.0
133,240,240,boostcamp-sts-v1-train-240,petition-sampled-s1-rtted,"2018년 군인 월급 인상은 1월부터 적용되지 않는다고 하는데, 그렇게 되면 2월에 소급해서 지급해 주세요.",상가임대차보호법 소급적용 및 소급 차등적용 제안합니다.,0.0,0.0
134,241,241,boostcamp-sts-v1-train-241,nsmc-sampled-s1-rtted,미국인들은 재미있을 것입니다.,일본인 입장에서 이렇게 만들기 쉽지 않았을텐데 대단하네요.,0.0,0.0
135,243,243,boostcamp-sts-v1-train-243,nsmc-sampled-s1-rtted,한심하다 한심하다 하하,어이가 없어서 ㅋㅋ,0.6,0.0
136,244,244,boostcamp-sts-v1-train-244,nsmc-sampled-s1-rtted,줄거리는 완전한 스포일러입니다. 끝까지 끝까지...,흔한 줄거리 뻔한 반전에 어이없어 하고 있는데 영화가 끝난다. 헤헤 ^^,2.0,0.0
137,246,246,boostcamp-sts-v1-train-246,nsmc-sampled-s1-rtted,더 많은 액션 영화를 만드는 것은 어렵습니다.,드라마는 커녕 액션도 못봐주겠다,0.8,0.0
138,250,250,boostcamp-sts-v1-train-250,petition-sampled-s1-rtted,이민을 가고 싶습니다.,모두 이민갑시다..,2.4,0.0
139,253,253,boostcamp-sts-v1-train-253,nsmc-sampled-s1-rtted,마스인프로 나오자마자 바로 채널 돌립니다^^,생각없이 채널 돌리다가 몇번이나 보게 되었는데 최고요!,1.4,0.0
140,256,256,boostcamp-sts-v1-train-256,slack-sampled-s1-rtted,완전히 거기에있는 것 같습니다.,가족용 같아보이는데요.,0.0,0.0
141,260,260,boostcamp-sts-v1-train-260,nsmc-sampled-s1-rtted,오페라에 익숙하지 않아도 이 작품이 유명한 이유를 알 것 같다.,이런 영화를 보면 주성치가 왜 대단한지 알수있다.,0.0,0.0
142,262,262,boostcamp-sts-v1-train-262,nsmc-sampled-s1-rtted,비현실적인 클리셰 엔딩,뭐하자는건지 알 수 없는 결말.,1.4,0.0
